Item,Tag,Sample,Gene,Stage,scMutrace,OtherMethod
Item1,SMART,S10,NKX2-1,S74,0.053763441,0.021505376
Item2,SMART,S10,NKX2-1,S69,0.05015674,0.015673981
Item3,SMART,S10,TP53,S74,0.021505376,0.032258065
Item4,SMART,S10,TP53,S69,0.062695925,0.05015674
Item5,SMART,S10,DROSHA,S74,0.021505376,0.021505376
Item6,SMART,S10,DROSHA,S69,0.021943574,0.037617555
Item7,SMART,S10,EGFR,S74,0.064516129,0.043010753
Item8,SMART,S10,EGFR,S69,0.062695925,0.018808777
Item9,SMART,S11,TPR,S58,0.036697248,0.04587156
Item10,SMART,S11,TPR,S79,0.00952381,0.019047619
Item11,SMART,S11,TPR,S80,0.047619048,0.047619048
Item12,SMART,S11,KEAP1,S58,0.009174312,0.027522936
Item13,SMART,S11,KEAP1,S79,0.057142857,0.00952381
Item14,SMART,S11,KEAP1,S80,0.047619048,0
Item15,SMART,S11,SMARCA4,S58,0.018348624,0.018348624
Item16,SMART,S11,SMARCA4,S79,0.00952381,0.00952381
Item17,SMART,S11,SMARCA4,S80,0,0
Item18,SMART,S11,ROS1,S58,0.018348624,0.027522936
Item19,SMART,S11,ROS1,S79,0,0.028571429
Item20,SMART,S11,ROS1,S80,0.047619048,0.095238095
Item21,SMART,S11,BRAF,S58,0,0
Item22,SMART,S11,BRAF,S79,0.038095238,0.028571429
Item23,SMART,S11,BRAF,S80,0,0
Item24,XVSeq,S1,ACAP2,Dx,0.003802281,0.004652827
Item25,XVSeq,S1,ACAP2,Rel,0.255813953,0.346084608
Item26,XVSeq,S1,CWF19L2,Dx,0.008333333,0.002012072
Item27,XVSeq,S1,CWF19L2,Rel,0.324324324,0.298313878
Item28,XVSeq,S1,HNRNPUL1,Dx,0.018181818,0.0112
Item29,XVSeq,S1,HNRNPUL1,Rel,0.434782609,0.401062417
Item30,XVSeq,S1,RPS24,Dx,0.097178683,0.067772891
Item31,XVSeq,S1,RPS24,Rel,0.357512953,0
Item32,XVSeq,S1,SMARCD1,Dx,0.25,0.205128205
Item33,XVSeq,S1,SMARCD1,Rel,0.5,0
Item34,XVSeq,S1,TET2_H1380Y,Dx,0.073170732,0.063157895
Item35,XVSeq,S1,TET2_H1380Y,Rel,0,0.007792208
Item36,XVSeq,S1,TET2_Q1034,Dx,0,0.148148148
Item37,XVSeq,S1,TET2_Q1034,Rel,0.538461538,0.329317269
Item38,XVSeq,S1,TET2_R1216,Dx,0,0.026086957
Item39,XVSeq,S1,TET2_R1216,Rel,0,0
Item40,XVSeq,S1,TET2_S792,Dx,0.166666667,0.185483871
Item41,XVSeq,S1,TET2_S792,Rel,0.375,0.361386139
Item42,GoTSeq,S2,IDH1,Total,0.392156863,0.846153846
Item43,GoTSeq,S3,IDH1,Total,0.333333333,0.936231884
Item44,GoTSeq,S3,NRAS,Total,0.2208413,0.496698459
Item45,GoTSeq,S4,IDH1,Total,0,0.619047619
Item46,GoTSeq,S5,IDH2,Total,0.149462366,0.874925551
Item47,GoTSeq,S6,IDH2,Total,0.443413729,0.884092146
Item48,GoTSeq,S7,IDH2,Total,0.448747153,0.830144657
Item49,GoTSeq,S8,IDH2,Total,0.418181818,0.870333988
Item50,GoTSeq,S9,IDH2,Total,0.456284153,0.674469642