"","AML1_DX","AML1_REM","AML2_DX","AML2_REM","AML2_REL","AML3_DX","AML3_REM","AML4_DX","AML4_REL","AML5_DX","AML5_REM","AML5_REL","AML6_DX","AML6_REL","AML7_DX","AML7_REM","AML7_REL","AML8_DX","AML8_REM","AML8_REL","AML10_DX","AML10_REM","AML10_REL","AML11_DX","AML11_REM","AML11_REL","AML12_DX","AML12_REL","AML13_DX","AML13_REL","AML14_DX","AML14_REM","AML15_DX","AML15_REM","AML15_REL","AML16_DX","AML16_REM","AML16_REL","AML17_DX","AML17_REL","AML18_DX","AML18_REL","AML19_DX","AML19_REL","AML20_DX","AML20_REM","AML21_DX","AML21_REM","AML21_REL","AML22_DX","AML22_REM","AML22_REL","AML24_DX","AML24_REM","AML24_REL","AML25_DX","AML25_REM","AML25_REL","AML26_DX","AML26_REM","AML26_REL","AML27_DX","AML27_REM","AML27_REL"
"AML1_DX",0.594594594594595,0.5,0.228571428571429,0.204081632653061,0.176470588235294,0.103896103896104,0.130434782608696,0.166666666666667,0.140845070422535,0.25,0.272727272727273,0.304347826086957,0.135135135135135,0.159420289855072,0.214285714285714,0.176470588235294,0.1875,0.291666666666667,0.212121212121212,0.156862745098039,0.185185185185185,0.142857142857143,0.169811320754717,0.211538461538462,0.166666666666667,0.192307692307692,0.130434782608696,0.107692307692308,0.121951219512195,0.209677419354839,0.139240506329114,0,0.142857142857143,0.0666666666666667,0.111111111111111,0.152542372881356,0.384615384615385,0.138461538461538,0.135593220338983,0.116666666666667,0.114285714285714,0.0909090909090909,0.119402985074627,0.0921052631578947,0.220338983050847,0.8,0.12,0.166666666666667,0.171052631578947,0.11864406779661,0.2,0.126984126984127,0.157142857142857,0.145454545454545,0.166666666666667,0.148148148148148,0.333333333333333,0.2,0.131578947368421,0.5,0.151515151515152,0.214285714285714,0.166666666666667,0.2
"AML1_REM",0.714285714285714,0.666666666666667,0,0.0714285714285714,0,0.133333333333333,0,0.0625,0,0.153846153846154,0,0,0,0,0,0,0,0.2,0,0,0.0555555555555556,0,0.0588235294117647,0.153846153846154,0.0909090909090909,0.0714285714285714,0.0714285714285714,0.0769230769230769,0,0,0.0454545454545455,0,0,0,0,0,0,0,0.0714285714285714,0.0625,0.05,0,0.0555555555555556,0.0416666666666667,0.0666666666666667,0,0,0,0.0714285714285714,0,0,0,0.05,0,0,0,0,0,0.0666666666666667,0,0,0,0,0
"AML2_DX",0.210526315789474,0.210526315789474,0.916666666666667,1,0.764705882352941,0.125,0.181818181818182,0.263157894736842,0.157894736842105,0.3125,0.285714285714286,0.285714285714286,0.208333333333333,0.12,0,0,0,0.153846153846154,0.2,0.0588235294117647,0.291666666666667,0,0.294117647058824,0.3125,0.285714285714286,0.25,0.222222222222222,0.222222222222222,0.0714285714285714,0.115384615384615,0.259259259259259,0,0.227272727272727,0,0.176470588235294,0.0909090909090909,0,0.181818181818182,0.260869565217391,0.277777777777778,0.2,0,0.24,0.25,0.304347826086957,1,0.5,0.25,0.444444444444444,0.238095238095238,0.333333333333333,0.3,0.291666666666667,0.235294117647059,0.176470588235294,0.4,0,0,0.24,0,0.1,0,0,0
"AML2_REM",0.22,0.260869565217391,0.625,0.68421052631579,0.727272727272727,0.132530120481928,0.18,0.186440677966102,0.181818181818182,0.226415094339623,0.347826086956522,0.28,0.132530120481928,0.12987012987013,0.214285714285714,0.277777777777778,0.31578947368421,0.230769230769231,0.2,0.217391304347826,0.205882352941176,0.117647058823529,0.19672131147541,0.283018867924528,0.24,0.240740740740741,0.1875,0.15625,0.222222222222222,0.185714285714286,0.2,0,0.16,0.0952380952380952,0.131578947368421,0.161764705882353,0.157894736842105,0.169014084507042,0.191176470588235,0.194029850746269,0.194805194805195,0.153846153846154,0.223684210526316,0.157894736842105,0.241935483870968,0.428571428571429,0.19047619047619,0.142857142857143,0.257142857142857,0.239130434782609,0.125,0.203703703703704,0.257575757575758,0.240740740740741,0.222222222222222,0.241379310344828,0.25,0.0769230769230769,0.185714285714286,0.25,0.192307692307692,0.153846153846154,0.2,0.25
"AML2_REL",0.156862745098039,0.173913043478261,0.708333333333333,0.758620689655172,0.666666666666667,0.140625,0.151515151515152,0.203389830508475,0.2,0.212765957446809,0.277777777777778,0.238095238095238,0.116666666666667,0.0882352941176471,0.2,0.166666666666667,0.214285714285714,0.137931034482759,0.133333333333333,0.133333333333333,0.186440677966102,0.0833333333333333,0.192982456140351,0.268292682926829,0.230769230769231,0.18,0.1875,0.175438596491228,0.131578947368421,0.142857142857143,0.205479452054795,0,0.17910447761194,0,0.158730158730159,0.166666666666667,0.2,0.210526315789474,0.171875,0.181818181818182,0.2,0,0.169491525423729,0.134328358208955,0.245614035087719,0.666666666666667,0.25,0.181818181818182,0.283333333333333,0.192307692307692,0.142857142857143,0.186440677966102,0.209677419354839,0.163265306122449,0.153846153846154,0.195652173913043,0,0,0.208955223880597,0,0.25,0.153846153846154,0.117647058823529,0.2
"AML3_DX",0.134615384615385,0.173913043478261,0.153846153846154,0.205128205128205,0.156862745098039,0.711538461538462,0.75,0.181818181818182,0.120689655172414,0.170212765957447,0.142857142857143,0.16,0.15625,0.116666666666667,0.222222222222222,0.153846153846154,0.272727272727273,0.208333333333333,0.222222222222222,0.155555555555556,0.140625,0.0833333333333333,0.107142857142857,0.191489361702128,0.12,0.148936170212766,0.166666666666667,0.129032258064516,0.131578947368421,0.163934426229508,0.152777777777778,0,0.121212121212121,0,0.107692307692308,0.0923076923076923,0.117647058823529,0.112676056338028,0.0810810810810811,0.0923076923076923,0.105882352941176,0.0909090909090909,0.103896103896104,0.0853658536585366,0.230769230769231,0.5,0.157894736842105,0.142857142857143,0.169014084507042,0.16,0.333333333333333,0.156862745098039,0.145161290322581,0.133333333333333,0.147058823529412,0.0754716981132075,0,0,0.142857142857143,0,0.185185185185185,0.153846153846154,0.111111111111111,0.2
"AML3_REM",0.216216216216216,0.266666666666667,0.178571428571429,0.225,0.189189189189189,0.697674418604651,0.666666666666667,0.192982456140351,0.135593220338983,0.217391304347826,0.227272727272727,0.217391304347826,0.154929577464789,0.131147540983607,0.333333333333333,0.333333333333333,0.384615384615385,0.230769230769231,0.2,0.155555555555556,0.196078431372549,0.2,0.130434782608696,0.212765957446809,0.148148148148148,0.208333333333333,0.166666666666667,0.135593220338983,0.133333333333333,0.135135135135135,0.161290322580645,0,0.15,0.0909090909090909,0.129032258064516,0.105263157894737,0.230769230769231,0.145161290322581,0.101449275362319,0.138461538461538,0.121621621621622,0.0833333333333333,0.125,0.111111111111111,0.210526315789474,0.6,0.19047619047619,0.1875,0.135802469135802,0.16,0.333333333333333,0.150943396226415,0.158730158730159,0.156862745098039,0.153846153846154,0.0943396226415094,0,0.1,0.128571428571429,0.25,0.142857142857143,0.375,0.307692307692308,0.25
"AML4_DX",0.146341463414634,0.125,0.172413793103448,0.146341463414634,0.174418604651163,0.08,0.101449275362319,0.707317073170732,0.662790697674419,0.159090909090909,0.157894736842105,0.133333333333333,0.1015625,0.10377358490566,0.153846153846154,0.142857142857143,0.148148148148148,0.173076923076923,0.148148148148148,0.144736842105263,0.121739130434783,0.130434782608696,0.123809523809524,0.112244897959184,0.111111111111111,0.156626506024096,0.0808080808080808,0.0956521739130435,0.123456790123457,0.153225806451613,0.125,0,0.12396694214876,0.0277777777777778,0.110169491525424,0.120967741935484,0.129032258064516,0.152173913043478,0.113821138211382,0.133928571428571,0.11038961038961,0.0833333333333333,0.119047619047619,0.0875912408759124,0.172727272727273,0.25,0.0869565217391304,0.0869565217391304,0.142857142857143,0.13,0.0555555555555556,0.125,0.137931034482759,0.114942528735632,0.142857142857143,0.145833333333333,0.142857142857143,0.0909090909090909,0.125,0.25,0.2,0.125,0.0833333333333333,0.0833333333333333
"AML4_REL",0.119565217391304,0.114942528735632,0.169230769230769,0.144578313253012,0.131868131868132,0.0703125,0.0675675675675676,0.753086419753086,0.674418604651163,0.174418604651163,0.153846153846154,0.173913043478261,0.102564102564103,0.107843137254902,0.2,0.161290322580645,0.166666666666667,0.196428571428571,0.140350877192982,0.139240506329114,0.137614678899083,0.148148148148148,0.117647058823529,0.119565217391304,0.10989010989011,0.160493827160494,0.0833333333333333,0.073394495412844,0.123287671232877,0.100840336134454,0.105263157894737,0,0.120689655172414,0.0645161290322581,0.121495327102804,0.118811881188119,0.142857142857143,0.136,0.11304347826087,0.131313131313131,0.119402985074627,0.115384615384615,0.142857142857143,0.103174603174603,0.141414141414141,0.230769230769231,0.0980392156862745,0.107142857142857,0.134920634920635,0.133333333333333,0.176470588235294,0.111111111111111,0.155172413793103,0.117021276595745,0.130952380952381,0.126436781609195,0.3,0.166666666666667,0.124031007751938,0.333333333333333,0.169811320754717,0.12,0.0833333333333333,0.0666666666666667
"AML5_DX",0.375,0.375,0.166666666666667,0.230769230769231,0.0666666666666667,0.285714285714286,0.2,0.1875,0.0555555555555556,0.857142857142857,0.75,0.75,0.111111111111111,0.111111111111111,0,0,0,0.142857142857143,0.1,0,0.285714285714286,0,0.25,0.272727272727273,0.2,0.272727272727273,0.181818181818182,0.166666666666667,0,0,0.2,0,0.125,0,0.125,0.0714285714285714,0,0.166666666666667,0.176470588235294,0.214285714285714,0.166666666666667,0,0.2,0.125,0.1,1,0.25,0.333333333333333,0.363636363636364,0.25,0.5,0.181818181818182,0.2,0.153846153846154,0.2,0.2,0,0,0.210526315789474,0,0,0,0,0
"AML5_REM",0.333333333333333,0.291666666666667,0.366666666666667,0.319148936170213,0.25,0.189873417721519,0.186046511627907,0.203389830508475,0.17910447761194,0.827586206896552,1,1,0.205479452054795,0.196969696969697,0.416666666666667,0.444444444444444,0.466666666666667,0.285714285714286,0.303030303030303,0.204081632653061,0.258620689655172,0.363636363636364,0.230769230769231,0.222222222222222,0.222222222222222,0.28,0.244897959183673,0.186440677966102,0.25,0.215384615384615,0.12987012987013,0,0.23943661971831,0.235294117647059,0.213333333333333,0.0952380952380952,0.3,0.157142857142857,0.238805970149254,0.245901639344262,0.23943661971831,0.363636363636364,0.180555555555556,0.1625,0.1875,0.75,0.3,0.333333333333333,0.289473684210526,0.16,0.5,0.176470588235294,0.225352112676056,0.211538461538462,0.234042553191489,0.245283018867925,0,0.142857142857143,0.166666666666667,0.5,0.206896551724138,0.5,0.538461538461538,0.5
"AML5_REL",0.214285714285714,0.235294117647059,0.210526315789474,0.209302325581395,0.142857142857143,0.126760563380282,0.114285714285714,0.189655172413793,0.145454545454545,0.71875,0.733333333333333,0.68421052631579,0.15,0.114754098360656,0.166666666666667,0.25,0.230769230769231,0.2,0.192307692307692,0.0975609756097561,0.169491525423729,0.230769230769231,0.175438596491228,0.232558139534884,0.17948717948718,0.30952380952381,0.177777777777778,0.103448275862069,0.117647058823529,0.152542372881356,0.138461538461538,0,0.158730158730159,0.0714285714285714,0.138461538461538,0.0754716981132075,0.166666666666667,0.129032258064516,0.15625,0.181818181818182,0.191780821917808,0.1,0.136363636363636,0.128571428571429,0.183333333333333,0.6,0.166666666666667,0.230769230769231,0.176470588235294,0.133333333333333,0.333333333333333,0.148936170212766,0.203703703703704,0.162790697674419,0.175,0.137254901960784,0,0.0769230769230769,0.174603174603175,0.333333333333333,0.16,0.285714285714286,0.25,0.25
"AML6_DX",0.2,0.2,0.333333333333333,0.272727272727273,0.222222222222222,0.142857142857143,0,0.307692307692308,0.142857142857143,0.3,0.5,0.25,0.727272727272727,0.8,0,0,0,0.2,0.25,0.1,0.153846153846154,0,0.125,0.25,0.166666666666667,0.307692307692308,0.166666666666667,0.0833333333333333,0.142857142857143,0.166666666666667,0.2,0,0.25,0,0.3,0.0769230769230769,0,0.157894736842105,0.181818181818182,0.166666666666667,0.157894736842105,0,0.230769230769231,0.153846153846154,0.25,0,0,0,0.272727272727273,0.142857142857143,0,0.133333333333333,0.2,0.166666666666667,0.1,0.166666666666667,0,0,0.3125,0,0.25,0,0,0
"AML6_REL",0.25,0.333333333333333,0.375,0.357142857142857,0.153846153846154,0.2,0.333333333333333,0.333333333333333,0.181818181818182,0.454545454545455,0.6,0.5,0.833333333333333,0.916666666666667,0,0.25,0.333333333333333,0.142857142857143,0.363636363636364,0.166666666666667,0.357142857142857,0.5,0.142857142857143,0.285714285714286,0.230769230769231,0.384615384615385,0.3,0.142857142857143,0.25,0.384615384615385,0.2,0,0.222222222222222,0,0.1875,0.0526315789473684,0,0.130434782608696,0.333333333333333,0.333333333333333,0.210526315789474,0,0.25,0.25,0.333333333333333,1,0.25,0.5,0.307692307692308,0.230769230769231,0.5,0.266666666666667,0.210526315789474,0.235294117647059,0.25,0.266666666666667,0,0,0.333333333333333,0,0.333333333333333,0,0.5,0
"AML7_DX",0,0,0,0.333333333333333,0,0.25,0,0.333333333333333,0,0.333333333333333,0,0,0.5,1,0,0,0,0.5,1,0,0.5,0,0.5,0.5,0.333333333333333,0.5,0,0,1,1,1,0,0,0,0,0,0,0,0.5,0.333333333333333,0.5,0,0.333333333333333,0.25,1,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.666666666666667,0,1,0,0,0
"AML7_REM",0.211538461538462,0.24390243902439,0.193548387096774,0.288888888888889,0.255813953488372,0.135802469135802,0.142857142857143,0.2,0.163934426229508,0.288888888888889,0.368421052631579,0.259259259259259,0.169014084507042,0.151515151515152,0.75,0.833333333333333,0.769230769230769,0.3,0.235294117647059,0.225,0.2,0.363636363636364,0.166666666666667,0.28,0.2,0.26,0.26530612244898,0.166666666666667,0.212765957446809,0.188405797101449,0.147058823529412,0,0.203389830508475,0.235294117647059,0.196969696969697,0.0869565217391304,0.142857142857143,0.0972222222222222,0.191176470588235,0.19047619047619,0.2,0.4,0.235294117647059,0.159420289855072,0.254545454545455,0.285714285714286,0.24,0.2,0.212121212121212,0.1,0.2,0.113207547169811,0.258064516129032,0.208333333333333,0.181818181818182,0.176470588235294,0,0.166666666666667,0.186440677966102,1,0.2,0.4,0.375,0.333333333333333
"AML7_REL",0.21875,0.214285714285714,0.272727272727273,0.303030303030303,0.333333333333333,0.127272727272727,0.161290322580645,0.255813953488372,0.155555555555556,0.225,0.266666666666667,0.222222222222222,0.185185185185185,0.109090909090909,1,1,1,0.333333333333333,0.217391304347826,0.185185185185185,0.209302325581395,0.25,0.214285714285714,0.228571428571429,0.205882352941176,0.257142857142857,0.235294117647059,0.181818181818182,0.166666666666667,0.173913043478261,0.210526315789474,0,0.173076923076923,0.166666666666667,0.169811320754717,0.0638297872340425,0.153846153846154,0.109090909090909,0.173076923076923,0.222222222222222,0.183333333333333,0.285714285714286,0.222222222222222,0.142857142857143,0.268292682926829,0.5,0.25,0.285714285714286,0.22,0.170731707317073,0.25,0.0930232558139535,0.224489795918367,0.228571428571429,0.138888888888889,0.17948717948718,0,0.25,0.244897959183673,1,0.294117647058824,0.333333333333333,0.25,0.5
"AML8_DX",0,0,0,0.25,0,0,0,0.2,0,0.333333333333333,0,0,0.25,0.333333333333333,0,0,0,1,1,1,0.25,0,0.5,0.2,0,0,0,0,0.333333333333333,0.2,0.285714285714286,0,0.2,0,0.166666666666667,0,0,0,0.142857142857143,0.166666666666667,0.333333333333333,0,0.2,0.1,0.285714285714286,0,0,0,0.166666666666667,0,0,0,0.142857142857143,0,0.333333333333333,0,0,0,0.25,0,0.5,0,0,0
"AML8_REM",0.176470588235294,0.166666666666667,0.171428571428571,0.2,0.204081632653061,0.126436781609195,0.150943396226415,0.163934426229508,0.169230769230769,0.229166666666667,0.285714285714286,0.233333333333333,0.194029850746269,0.150684931506849,0.357142857142857,0.35,0.3,0.777777777777778,0.703703703703704,0.666666666666667,0.220338983050847,0.272727272727273,0.218181818181818,0.211538461538462,0.170212765957447,0.230769230769231,0.173076923076923,0.106060606060606,0.244444444444444,0.196969696969697,0.103448275862069,0,0.157142857142857,0.176470588235294,0.191176470588235,0.149253731343284,0.222222222222222,0.126760563380282,0.157142857142857,0.142857142857143,0.185185185185185,0.230769230769231,0.142857142857143,0.12,0.236363636363636,0.4,0.103448275862069,0.133333333333333,0.194444444444444,0.117647058823529,0.2,0.157894736842105,0.194444444444444,0.163636363636364,0.227272727272727,0.171875,0,0.0909090909090909,0.142857142857143,0.5,0.1875,0.3,0.333333333333333,0.5
"AML8_REL",0.142857142857143,0.171428571428571,0.111111111111111,0.136363636363636,0.122448979591837,0.112903225806452,0.0909090909090909,0.203703703703704,0.155172413793103,0.210526315789474,0.133333333333333,0.111111111111111,0.137931034482759,0.107142857142857,0.25,0.2,0.181818181818182,0.8125,0.777777777777778,0.740740740740741,0.173076923076923,0.142857142857143,0.2,0.133333333333333,0.0930232558139535,0.148936170212766,0.130434782608696,0.0862068965517241,0.193548387096774,0.15,0.126984126984127,0,0.152542372881356,0,0.188679245283019,0.2,0.272727272727273,0.157894736842105,0.0961538461538462,0.1,0.17741935483871,0,0.133333333333333,0.0952380952380952,0.189655172413793,0.2,0.0555555555555556,0.0833333333333333,0.163636363636364,0.0816326530612245,0,0.113207547169811,0.158730158730159,0.0909090909090909,0.131578947368421,0.106382978723404,0,0,0.138461538461538,0,0.125,0.285714285714286,0.285714285714286,0.5
"AML10_DX",0.107692307692308,0.12962962962963,0.106382978723404,0.132075471698113,0.160714285714286,0.0416666666666667,0.0862068965517241,0.137931034482759,0.119565217391304,0.126760563380282,0.142857142857143,0.108108108108108,0.0813953488372093,0.075,0.125,0.15,0.173913043478261,0.171428571428571,0.0975609756097561,0.145833333333333,0.724137931034483,1,0.754716981132076,0.158730158730159,0.0769230769230769,0.147058823529412,0.0571428571428571,0.0657894736842105,0.142857142857143,0.126582278481013,0.108695652173913,0,0.12,0.0526315789473684,0.131578947368421,0.121951219512195,0.136363636363636,0.131868131868132,0.0963855421686747,0.113924050632911,0.155339805825243,0.125,0.1375,0.0888888888888889,0.102564102564103,0.222222222222222,0.0833333333333333,0.105263157894737,0.10989010989011,0.112676056338028,0.125,0.10958904109589,0.116883116883117,0.133333333333333,0.132075471698113,0.104477611940299,0,0.0555555555555556,0.131578947368421,0.25,0.125,0.0909090909090909,0.111111111111111,0.1
